,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,AMOY STREET FOOD CENTRE,7,MAXWELL ROAD,AMOY STREET FOOD CENTRE,7 MAXWELL ROAD AMOY STREET FOOD CENTRE SINGAPORE 069111,069111,29483.955767219,29088.4261356071,1.27933986365711,103.846652482254,103.846652482254,Amoy Street Food Centre
1,DBS AMOY STREET FOOD CENTRE,7,MAXWELL ROAD,DBS AMOY STREET FOOD CENTRE,7 MAXWELL ROAD DBS AMOY STREET FOOD CENTRE SINGAPORE 069111,069111,29480.2599858707,29076.4117134903,1.27923120961066,103.846619273705,103.846619273705,Amoy Street Food Centre
2,OCBC AMOY STREET FOOD CENTRE,7,MAXWELL ROAD,OCBC AMOY STREET FOOD CENTRE,7 MAXWELL ROAD OCBC AMOY STREET FOOD CENTRE SINGAPORE 069111,069111,29480.2599858707,29076.4117134903,1.27923120961066,103.846619273705,103.846619273705,Amoy Street Food Centre
0,COMMONWEALTH CRESCENT MARKET,31,COMMONWEALTH CRESCENT,COMMONWEALTH CRESCENT MARKET,31 COMMONWEALTH CRESCENT COMMONWEALTH CRESCENT MARKET SINGAPORE 149644,149644,24331.6215337254,32146.4464168269,1.30699534116093,103.800356458268,103.800356458268,Commonwealth Crescent Market
1,DBS COMMONWEALTH CRESCENT MARKET,31,COMMONWEALTH CRESCENT,DBS COMMONWEALTH CRESCENT MARKET,31 COMMONWEALTH CRESCENT DBS COMMONWEALTH CRESCENT MARKET SINGAPORE 149644,149644,24340.0894864583,32155.231093742,1.30707478767354,103.800432545798,103.800432545798,Commonwealth Crescent Market
0,EAST COAST LAGOON FOOD VILLAGE,1220,EAST COAST PARKWAY,EAST COAST LAGOON FOOD VILLAGE,1220 EAST COAST PARKWAY EAST COAST LAGOON FOOD VILLAGE SINGAPORE 468960,468960,39329.6400750959,32135.5210367646,1.30689467825616,103.93512071816,103.93512071816,East Coast Lagoon Food Village
1,DBS EAST COAST LAGOON FOOD VILLAGE,1220,EAST COAST PARKWAY,DBS EAST COAST LAGOON FOOD VILLAGE,1220 EAST COAST PARKWAY DBS EAST COAST LAGOON FOOD VILLAGE SINGAPORE 468960,468960,39331.5561898053,32136.743772503,1.30690573552744,103.935137935777,103.935137935777,East Coast Lagoon Food Village
0,ALBERT CENTRE MARKET & FOOD CENTRE,270,QUEEN STREET,ALBERT CENTRE MARKET & FOOD CENTRE,270 QUEEN STREET ALBERT CENTRE MARKET & FOOD CENTRE SINGAPORE 180270,180270,30325.2105163326,31483.6634436883,1.30100149635856,103.854211650138,103.854211650138,Market Street Food Centre
1,KOVAN HOUGANG MARKET AND FOOD CENTRE,209,HOUGANG STREET 21,KOVAN HOUGANG MARKET AND FOOD CENTRE,209 HOUGANG STREET 21 KOVAN HOUGANG MARKET AND FOOD CENTRE SINGAPORE 530209,530209,33869.7587915771,37907.6504119337,1.35909726707661,103.886062250482,103.886062250482,Market Street Food Centre
2,TAMPINES ROUND MARKET AND FOOD CENTRE,137,TAMPINES STREET 11,TAMPINES ROUND MARKET AND FOOD CENTRE,137 TAMPINES STREET 11 TAMPINES ROUND MARKET AND FOOD CENTRE SINGAPORE 521137,521137,40383.1678261776,36435.9891108777,1.34578611181874,103.944588885295,103.944588885295,Market Street Food Centre
3,YUHUA VILLAGE MARKET AND FOOD CENTRE,254,JURONG EAST STREET 24,YUHUA VILLAGE MARKET AND FOOD CENTRE,254 JURONG EAST STREET 24 YUHUA VILLAGE MARKET AND FOOD CENTRE SINGAPORE 600254,600254,17375.499923775,36184.9254479446,1.34351625707382,103.737851045986,103.737851045986,Market Street Food Centre
4,HONG LIM FOOD CENTRE AND MARKET,531A,UPPER CROSS STREET,HONG LIM FOOD CENTRE AND MARKET,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,051531,29386.4890156155,29750.0976683833,1.28532379322673,103.845776735598,103.845776735598,Market Street Food Centre
5,KAKI BUKIT 511 MARKET AND FOOD CENTRE,511,BEDOK NORTH STREET 3,KAKI BUKIT 511 MARKET AND FOOD CENTRE,511 BEDOK NORTH STREET 3 KAKI BUKIT 511 MARKET AND FOOD CENTRE SINGAPORE 460511,460511,38837.3701537577,35056.0862013027,1.33330737545995,103.930698473413,103.930698473413,Market Street Food Centre
0,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),21 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730021,730021,21756.0331105599,47277.1630374882,1.44383165244261,103.777210383669,103.777210383669,Blks 20/21 Marsiling Lane
1,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),20,MARSILING LANE,MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE),20 MARSILING LANE MARKET & HAWKER CENTRE (BLKS 20/21 MARSILING LANE) SINGAPORE 730020,730020,21731.448667217,47234.3175260853,1.44344416787521,103.776989477833,103.776989477833,Blks 20/21 Marsiling Lane
0,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79A,CIRCUIT ROAD,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79A CIRCUIT ROAD HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD) SINGAPORE 371079,371079,33743.4465001505,34195.5894290432,1.32552674394425,103.88492654757,103.88492654757,Blks 79/79A Circuit Road
1,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79,CIRCUIT ROAD,HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD),79 CIRCUIT ROAD HAWKER CENTRE (BLKS 79/79A CIRCUIT ROAD) SINGAPORE 370079,370079,33756.4658798631,34297.6752263028,1.3264499689367,103.885043552853,103.885043552853,Blks 79/79A Circuit Road
0,BEO CRESCENT MARKET,38A,BEO CRESCENT,BEO CRESCENT MARKET,38A BEO CRESCENT BEO CRESCENT MARKET SINGAPORE 169982,169982,27341.4033055445,30138.9078076109,1.2888400791879,103.827400817412,103.827400817412,Beo Crescent Market
0,SERANGOON GARDEN MARKET,49A,SERANGOON GARDEN WAY,SERANGOON GARDEN MARKET,49A SERANGOON GARDEN WAY SERANGOON GARDEN MARKET SINGAPORE 555945,555945,31719.1350693647,38356.5404406171,1.36315721453206,103.866737530199,103.866737530199,Serangoon Garden Market
0,HOLLAND VILLAGE MARKET & FOOD CENTRE,1,LORONG MAMBONG,HOLLAND VILLAGE MARKET & FOOD CENTRE,1 LORONG MAMBONG HOLLAND VILLAGE MARKET & FOOD CENTRE SINGAPORE 277700,277700,23717.0080589857,32605.7415189333,1.31114896408013,103.794833802029,103.794833802029,Holland Village Market & Food Centre
0,MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),112,JALAN BUKIT MERAH,MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),112 JALAN BUKIT MERAH MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH) SINGAPORE 160112,160112,27186.9795031687,29161.9519412015,1.28000482954569,103.826013281251,103.826013281251,Blk 112 Jalan Bukit Merah
0,MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD),13,HAIG ROAD,MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD),13 HAIG ROAD MARKET & HAWKER CENTRE (BLKS 13/14 HAIG ROAD) SINGAPORE 430013,430013,34932.3854920464,33047.3299110997,1.31514204972283,103.895609544204,103.895609544204,Blks 13/14 Haig Road
0,TANGLIN HALT MARKET,48A,TANGLIN HALT ROAD,TANGLIN HALT MARKET,48A TANGLIN HALT ROAD TANGLIN HALT MARKET SINGAPORE 148813,148813,24038.1290284544,31434.6500739045,1.30055807077529,103.797719379651,103.797719379651,Tanglin Halt Market
0,UOB GOLDEN MILE FOOD CENTRE,505,BEACH ROAD,UOB GOLDEN MILE FOOD CENTRE,505 BEACH ROAD UOB GOLDEN MILE FOOD CENTRE SINGAPORE 199583,199583,31400.915104527,31720.3067127466,1.30314151533241,103.863877368653,103.863877368653,Golden Mile Food Centre
1,OCBC GOLDEN MILE FOOD CENTRE,505,BEACH ROAD,OCBC GOLDEN MILE FOOD CENTRE,505 BEACH ROAD OCBC GOLDEN MILE FOOD CENTRE SINGAPORE 199583,199583,31400.915104527,31720.3067127466,1.30314151533241,103.863877368653,103.863877368653,Golden Mile Food Centre
2,GOLDEN MILE FOOD CENTRE,505,BEACH ROAD,GOLDEN MILE FOOD CENTRE,505 BEACH ROAD GOLDEN MILE FOOD CENTRE SINGAPORE 199583,199583,31401.5718592377,31690.8964026161,1.30287553881161,103.863883266692,103.863883266692,Golden Mile Food Centre
0,UOB GEYLANG SERAI MARKET,1,GEYLANG SERAI,UOB GEYLANG SERAI MARKET,1 GEYLANG SERAI UOB GEYLANG SERAI MARKET SINGAPORE 402001,402001,35223.7771873726,33223.6269021761,1.31673634930333,103.898227885022,103.898227885022,Geylang Serai Market
1,DBS GEYLANG SERAI MARKET AND FOOD CENTRE,1,GEYLANG SERAI,DBS GEYLANG SERAI MARKET AND FOOD CENTRE,1 GEYLANG SERAI DBS GEYLANG SERAI MARKET AND FOOD CENTRE SINGAPORE 402001,402001,35209.8405666817,33217.2692029998,1.31667885583159,103.898102655979,103.898102655979,Geylang Serai Market
2,GEYLANG SERAI MARKET,1,GEYLANG SERAI,GEYLANG SERAI MARKET,1 GEYLANG SERAI GEYLANG SERAI MARKET SINGAPORE 402001,402001,35195.9019180359,33222.3878217265,1.31672515005311,103.897977411392,103.897977411392,Geylang Serai Market
0,MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2),117,ALJUNIED AVENUE 2,MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2),117 ALJUNIED AVENUE 2 MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2) SINGAPORE 380117,380117,33949.0082426239,33670.842051981,1.32078107690468,103.886773528755,103.886773528755,Blk 117 Aljunied Ave 2
0,MARKET & HAWKER CENTRE (BLK 89 CIRCUIT ROAD),89,CIRCUIT ROAD,MARKET & HAWKER CENTRE (BLK 89 CIRCUIT ROAD),89 CIRCUIT ROAD MARKET & HAWKER CENTRE (BLK 89 CIRCUIT ROAD) SINGAPORE 370089,370089,33801.6281027393,33965.4400045536,1.32344534381527,103.885449297065,103.885449297065,Blk 89 Circuit Road
0,CHOMP CHOMP FOOD CENTRE,20,KENSINGTON PARK ROAD,CHOMP CHOMP FOOD CENTRE,20 KENSINGTON PARK ROAD CHOMP CHOMP FOOD CENTRE SINGAPORE 557269,557269,31700.4303937349,38474.4781863075,1.36422380359954,103.86656947065,103.86656947065,Chomp Chomp Food Centre
0,MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1),216,BEDOK NORTH STREET 1,MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1),216 BEDOK NORTH STREET 1 MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1) SINGAPORE 460216,460216,39125.4746249793,34363.580794584,1.32704450702368,103.933287000271,103.933287000271,Blk 216 Bedok North Street 1
0,MARKET & HAWKER CENTRE (BLK 6 TANJONG PAGAR PLAZA),6,TANJONG PAGAR PLAZA,MARKET & HAWKER CENTRE (BLK 6 TANJONG PAGAR PLAZA),6 TANJONG PAGAR PLAZA MARKET & HAWKER CENTRE (BLK 6 TANJONG PAGAR PLAZA) SINGAPORE 081006,081006,29096.0534556275,28787.0840827785,1.27661464758769,103.843167023188,103.843167023188,Blk 6 Tanjong Pagar Plaza
0,DUNMAN FOOD CENTRE,271,ONAN ROAD,DUNMAN FOOD CENTRE,271 ONAN ROAD DUNMAN FOOD CENTRE SINGAPORE 424768,424768,35626.924634858,32412.8081240896,1.30940349816347,103.901850168193,103.901850168193,Dunman Food Centre
0,HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD),208B,NEW UPPER CHANGI ROAD,HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD),208B NEW UPPER CHANGI ROAD HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD) SINGAPORE 462208,462208,38823.1433841754,34113.4328592326,1.32478236985627,103.930570304559,103.930570304559,Blk 208B New Upper Changi Road
0,CHONG PANG MARKET & FOOD CENTRE,105,YISHUN RING ROAD,CHONG PANG MARKET & FOOD CENTRE,105 YISHUN RING ROAD CHONG PANG MARKET & FOOD CENTRE SINGAPORE 760105,760105,27430.9756221706,45953.3688881751,1.43186042917354,103.828205359547,103.828205359547,Chong Pang Market & Food Centre
1,CHONG PANG MARKET & FOOD CENTRE,104,YISHUN RING ROAD,CHONG PANG MARKET & FOOD CENTRE,104 YISHUN RING ROAD CHONG PANG MARKET & FOOD CENTRE SINGAPORE 760104,760104,27454.8459832417,45916.4702788722,1.43152673197927,103.828419857888,103.828419857888,Chong Pang Market & Food Centre
0,MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3),538,BEDOK NORTH STREET 3,MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3),538 BEDOK NORTH STREET 3 MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3) SINGAPORE 460538,460538,38212.3475799533,34889.0253038481,1.33179675490969,103.925082241506,103.925082241506,Blk 538 Bedok North Street 3
0,MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52),505,JURONG WEST STREET 52,MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52),505 JURONG WEST STREET 52 MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52) SINGAPORE 640505,640505,15216.1306611514,36862.4065237083,1.34964230218296,103.718447549568,103.718447549568,Blk 505 Jurong West Street 52
0,MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8),210,LORONG 8 TOA PAYOH,MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8),210 LORONG 8 TOA PAYOH MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8) SINGAPORE 310210,310210,30345.6633798974,35824.7833570838,1.3402610461881,103.854395758866,103.854395758866,Blk 210 Toa Payoh Lorong 8
1,BLK 210 LORONG 8 TOA PAYOH MARKET & FOOD CENTRE,210,LORONG 8 TOA PAYOH,BLK 210 LORONG 8 TOA PAYOH MARKET & FOOD CENTRE,210 LORONG 8 TOA PAYOH BLK 210 LORONG 8 TOA PAYOH MARKET & FOOD CENTRE SINGAPORE 310210,310210,30398.7267572442,35819.8037894741,1.34021600857623,103.85487256444,103.85487256444,Blk 210 Toa Payoh Lorong 8
2,MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8 ),210,LORONG 8 TOA PAYOH,MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8 ),210 LORONG 8 TOA PAYOH MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8 ) SINGAPORE 310210,310210,30338.771753489,35823.7928675842,1.34025208908833,103.854333833433,103.854333833433,Blk 210 Toa Payoh Lorong 8
0,MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD),20,GHIM MOH ROAD,MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD),20 GHIM MOH ROAD MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD) SINGAPORE 270020,270020,22983.3363480661,32579.350652054,1.31091018371374,103.788241408454,103.788241408454,Blk 20 Ghim Moh Road
0,OCBC NEWTON FOOD CENTRE,500,CLEMENCEAU AVENUE NORTH,OCBC NEWTON FOOD CENTRE,500 CLEMENCEAU AVENUE NORTH OCBC NEWTON FOOD CENTRE SINGAPORE 229495,229495,28722.7867432749,32712.4483595341,1.31211427254137,103.839813174478,103.839813174478,Newton Food Centre
1,NEWTON FOOD CENTRE,500,CLEMENCEAU AVENUE NORTH,NEWTON FOOD CENTRE,500 CLEMENCEAU AVENUE NORTH NEWTON FOOD CENTRE SINGAPORE 229495,229495,28678.194950819,32720.3648296036,1.31218586731501,103.839412495407,103.839412495407,Newton Food Centre
2,DBS NEWTON FOOD CENTRE,500,CLEMENCEAU AVENUE NORTH,DBS NEWTON FOOD CENTRE,500 CLEMENCEAU AVENUE NORTH DBS NEWTON FOOD CENTRE SINGAPORE 229495,229495,28694.9187987903,32687.9153112266,1.31189240495009,103.839562766706,103.839562766706,Newton Food Centre
0,MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD),58,NEW UPPER CHANGI ROAD,MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD),58 NEW UPPER CHANGI ROAD MARKET & HAWKER CENTRE (BLK 58 NEW UPPER CHANGI ROAD) SINGAPORE 461058,461058,40000.988282267,34039.8091669772,1.32411610372005,103.94115382948,103.94115382948,Blk 58 New Upper Changi Road
0,MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW),115,BUKIT MERAH VIEW,MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW),115 BUKIT MERAH VIEW MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW) SINGAPORE 151115,151115,26745.8380177822,29770.1153691467,1.28550483170444,103.822049433334,103.822049433334,Blk 115 Bukit Merah View
0,HAWKER CENTRE (BLK 1 JALAN KUKOH),1,JALAN KUKOH,HAWKER CENTRE (BLK 1 JALAN KUKOH),1 JALAN KUKOH HAWKER CENTRE (BLK 1 JALAN KUKOH) SINGAPORE 161001,161001,28736.2590833632,30071.5608476754,1.2882310152805,103.839934168065,103.839934168065,Blk 1 Jalan Kukoh
0,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),16,BEDOK SOUTH ROAD,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD) SINGAPORE 460016,460016,39368.8552748002,33640.0242200717,1.32050083785241,103.935473637292,103.935473637292,Blk 16 Bedok South Road
1,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ),16,BEDOK SOUTH ROAD,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ),16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD ) SINGAPORE 460016,460016,39376.1483757449,33645.7060351707,1.32055221938711,103.935539171613,103.935539171613,Blk 16 Bedok South Road
0,TAMAN JURONG MARKET & FOOD CENTRE,3,YUNG SHENG ROAD,TAMAN JURONG MARKET & FOOD CENTRE,3 YUNG SHENG ROAD TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499,618499,15557.9753623717,35197.91313475,1.33458938786304,103.721519916812,103.721519916812,Taman Jurong Market & Food Centre
1,DBS TAMAN JURONG MARKET & FOOD CENTRE,3,YUNG SHENG ROAD,DBS TAMAN JURONG MARKET & FOOD CENTRE,3 YUNG SHENG ROAD DBS TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499,618499,15569.0315909274,35208.2267080583,1.33468266452816,103.721619258973,103.721619258973,Taman Jurong Market & Food Centre
0,CHINATOWN COMPLEX MARKET,335,SMITH STREET,CHINATOWN COMPLEX MARKET,335 SMITH STREET CHINATOWN COMPLEX MARKET SINGAPORE 050335,050335,29097.2327265413,29408.5769859292,1.28223521144331,103.843177640795,103.843177640795,Chinatown Market
0,ABC BRICKWORKS MARKET & FOOD CENTRE,6,JALAN BUKIT MERAH,ABC BRICKWORKS MARKET & FOOD CENTRE,6 JALAN BUKIT MERAH ABC BRICKWORKS MARKET & FOOD CENTRE SINGAPORE 150006,150006,25196.5007165428,29930.2297340687,1.28695274958575,103.808128005756,103.808128005756,ABC Brickworks Market & Food Centre
0,MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10),409,ANG MO KIO AVENUE 10,MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10),409 ANG MO KIO AVENUE 10 MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10) SINGAPORE 560409,560409,30454.0412856117,38313.6001601573,1.36276900965875,103.855369801598,103.855369801598,Blk 409 Ang Mo Kio Ave 10
0,MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4),93,LORONG 4 TOA PAYOH,MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4),93 LORONG 4 TOA PAYOH MARKET & HAWKER CENTRE (BLK 93 TOA PAYOH LORONG 4) SINGAPORE 310093,310093,29799.1463306379,35620.9121420365,1.33841734487834,103.849484966375,103.849484966375,Blk 93 Toa Payoh Lorong 4
0,UOB PEOPLE'S PARK COMPLEX FOOD CENTRE,32,NEW MARKET ROAD,UOB PEOPLE'S PARK COMPLEX FOOD CENTRE,32 NEW MARKET ROAD UOB PEOPLE'S PARK COMPLEX FOOD CENTRE SINGAPORE 050032,050032,29030.58241452,29698.6584105082,1.2848586083002,103.842578771326,103.842578771326,People's Park Food Centre
1,PEOPLE'S PARK FOOD CENTRE,32,NEW MARKET ROAD,PEOPLE'S PARK FOOD CENTRE,32 NEW MARKET ROAD PEOPLE'S PARK FOOD CENTRE SINGAPORE 050032,050032,29029.3480861438,29712.0183655731,1.28497943108465,103.84256768083,103.84256768083,People's Park Food Centre
2,DBS PEOPLE'S PARK COMPLEX FOOD CENTRE,32,NEW MARKET ROAD,DBS PEOPLE'S PARK COMPLEX FOOD CENTRE,32 NEW MARKET ROAD DBS PEOPLE'S PARK COMPLEX FOOD CENTRE SINGAPORE 050032,050032,29032.9361134693,29698.3572138008,1.28485588430578,103.842599920236,103.842599920236,People's Park Food Centre
